,word,count
0,t,88
1,https,87
2,co,87
3,😆,46
4,の,30
5,ん,29
6,1,26
7,😭,26
8,2,24
9,時間,24
10,こと,21
11,自分,17
12,😊,16
13,これ,16
14,9,16
15,😳,15
16,プログラミング,15
17,人,14
18,笑,13
19,よう,13
20,8,13
21,4,13
22,😓,13
23,勉強,12
24,3,12
25,5,12
26,0,12
27,アプリ,11
28,事,11
29,ー,10
30,独学,9
31,クラウドワークス,9
32,データ,9
33,開発,9
34,方,9
35,7,9
36,そう,9
37,さん,8
38,年,8
39,記事,8
40,6,8
41,案件,8
42,みたい,8
43,スキル,8
44,Qiita,8
45,僕,7
46,Django,7
47,仕事,7
48,エラー,7
49,何,7
50,😤,7
51,中,7
52,インストール,7
53,機能,6
54,歳,6
55,csv,6
56,10,6
57,初心者,6
58,解決,6
59,環境,6
60,今日,6
61,感じ,6
62,旦那,6
63,ツイート,6
64,フォロワー,5
65,必要,5
66,買い物,5
67,1日,5
68,流,5
69,術,5
70,検索,5
71,気,5
72,最近,5
73,ダメ,5
74,cloud,5
75,方法,5
76,☀,5
77,デザイン,5
78,☺,5
79,今,4
80,以上,4
81,化,4
82,業務,4
83,名,4
84,公式,4
85,チュートリアル,4
86,知識,4
87,万,4
88,円,4
89,モチベーション,4
90,綺麗,4
91,一,4
92,ため,4
93,☑,4
94,タスク,4
95,実装,4
96,テスト,4
97,MeCab,4
98,分析,4
99,Canva,4
100,確保,3
101,リスト,3
102,管理,3
103,調子,3
104,コーディング,3
105,作成,3
106,スプレッドシート,3
107,回,3
108,収集,3
109,分,3
110,成長,3
111,発信,3
112,大変,3
113,個人的,3
114,月,3
115,程度,3
116,世界,3
117,奥さん,3
118,トマム,3
119,理由,3
120,AWS,3
121,内容,3
122,抽出,3
123,経験,3
124,はず,3
125,フリーランス,3
126,python,3
127,便利,3
128,自動,3
129,解析,3
130,図解,3
131,周り,3
132,地方,3
133,22,3
134,弁当,3
135,予想,3
136,コード,3
137,R,3
138,日,3
139,レベル,3
140,結果,3
141,形態素解析,3
142,モジュール,3
143,開催,3
144,トップ,3
145,画,3
146,それ,3
147,度,3
148,ブログ,3
149,もの,3
150,tweepy,3
151,継続,2
152,毎日,2
153,朝活,2
154,予定,2
155,年間,2
156,番,2
157,大事,2
158,家族,2
159,用,2
160,修正,2
161,わけ,2
162,d,2
163,本日,2
164,充実,2
165,概要,2
166,職種,2
167,法,2
168,確認,2
169,ドキュメント,2
170,今年,2
171,今回,2
172,話,2
173,😁,2
174,サラリーマン,2
175,無し,2
176,サービス,2
177,つま,2
178,progate,2
179,Alexa,2
180,Python,2
181,チャンス,2
182,去年,2
183,最高,2
184,フリー,2
185,どっち,2
186,差,2
187,生活,2
188,焦り,2
189,登録,2
190,設定,2
191,単価,2
192,目標,2
193,体力,2
194,他人,2
195,作品,2
196,企業,2
197,Asana,2
198,期限,2
199,ところ,2
200,次回,2
201,割,2
202,利用,2
203,地味,2
204,昨日,2
205,画像,2
206,Twitter,2
207,キロ,2
208,25,2
209,必須,2
210,費,2
211,増,2
212,都市部,2
213,生計,2
214,使い方,2
215,メモ,2
216,投稿,2
217,サイト,2
218,皆さん,2
219,ふつう,2
220,デバッグ,2
221,q,2
222,がち,2
223,モー,2
224,google,2
225,Yahoo!,2
226,違い,2
227,名詞,2
228,宣言,2
229,😄,2
230,操作,2
231,Pandas,2
232,整形,2
233,🎉,2
234,参加,2
235,スクレイピング,2
236,大量,2
237,正規表現,2
238,久しぶり,2
